source_id,ra,dec,l,b,track,feh,feh_provenance,population,kinematic_method,v_tot_or_bound_kms,v_tot_err_kms,luminosity_class,M_G,bp_rp,phot_g_mean_mag,W1mag,W2mag,W3mag,W4mag,chi_W1,chi_W2,chi_W3,chi_W4,chi_w1_w2,chi_w1_w3,w1_w2_obs,w1_w2_locus,t_dust_k,t_dust_lo_k,t_dust_hi_k,tau,tau_lo,tau_hi,dust_fit_chi2,n_excess_bands,registration_arcsec,registration_arcsec_unpropagated,chance_superposition_p,ebv_sfd,blend_verdict,simbad_id,simbad_otype,verdict,reject_reason,followup_verdict,neighbour_over_excess,n_beam_neighbours
2655159124668797696,342.3182423890735,0.7418881061490346,71.43463971937736,-49.512359035935916,halo,-2.454900026321411,gaia_gspphot,halo,vtan_lower_bound,219.0428850759279,34.20856320517185,dwarf,5.375980850956957,0.9252815,16.942482,15.389,15.142,10.902,8.211,-1.0090277547520354,1.0788695011200276,8.905900936260606,3.3774135426541743,1.4612619301314778,3.3323517693224183,0.2469999999999999,-0.05470541294987141,214.26109966334906,191.32663392547283,288.52619958407956,0.17990647145911284,0.13613908219612966,0.22462303101874606,0.9218735831034621,3,0.16006568495751217,0.22192284729323744,0.00016840973370113588,0.1046,isolated,,,surviving,,rejected,0.0,0
2654963931290217984,342.71117956585067,0.6294636475403992,71.75054357737022,-49.86626730042689,halo,-1.4901000261306763,gaia_gspphot,unclassified,vtan_lower_bound,180.5278291418917,31.476934440493228,dwarf,6.748275649178854,1.1263447,17.765324,15.773,15.776,11.549,8.214,-0.10688445156214503,0.22791727889765348,7.693019265603472,5.90260500140937,0.25330456334791107,3.0117508020470645,-0.0030000000000001137,-0.07444959497425652,164.360442021609,153.68218427892157,176.23552880766957,0.39231039873075996,0.3296967533819489,0.45982442935867424,7.308897119173707e-05,2,0.04984504119959193,0.1748577909593113,0.00037025597545237154,0.1177,isolated,,,surviving,,rejected,0.0,0
2718706567427195648,345.02958408618986,11.957775041867391,84.6601260677225,-42.49265358905051,halo,-1.4544999599456787,gaia_gspphot,unclassified,vtan_lower_bound,145.06411947628638,23.74093001216969,dwarf,6.413685900142983,1.1340942,17.43912,15.564,15.441,10.794,,-1.104540985571507,0.28284298203324953,10.929474803871518,,0.8623067273754849,3.8538915756838663,0.12299999999999933,-0.07507176077645283,,,,,,,,1,0.06974120954932417,0.09020542693317103,0.0001436344773660947,0.1466,isolated,,,surviving,,rejected,0.0,0
2704895017755102592,340.50310927025475,4.292326873570702,73.11437512745043,-45.689754486939485,halo,-2.3929998874664307,gaia_gspphot,unclassified,vtan_lower_bound,170.25310894845097,23.588317797340434,dwarf,6.105230775521051,0.90603256,16.95083,15.283,15.301,10.779,7.685,0.3570066075721095,0.3913689598179189,10.161511679890625,6.446839930324618,0.16728574506442004,3.3452938073522165,-0.018000000000000682,-0.052808549685315676,176.88272142758473,166.84203923766762,186.1578877603817,0.32817869313221354,0.2873315493767548,0.379215293843865,0.000199015927620394,2,0.024891263932947747,0.12602483332325193,0.00014215092011504726,0.0623,isolated,,,surviving,,surviving,0.0,0
2704686630237069184,341.14043606614945,4.000107133933563,73.49961663237465,-46.33618676491201,halo,-1.6505000591278076,gaia_gspphot,unclassified,vtan_lower_bound,264.53569407490653,42.85908876699516,dwarf,7.330021220298363,1.2120857,17.780315,15.714,15.654,11.411,7.775,-0.6589254700963975,0.21483840294527629,7.978951535776043,8.300418234258789,0.5008926110097296,3.2615821048873053,0.0600000000000005,-0.08028513329417875,149.83213009399566,143.51211133006638,157.94922990449808,0.643134701641446,0.5519374359688347,0.7337383565133596,7.617722621944267e-05,2,0.05092268576689751,0.19641034530347917,0.0003160205206190758,0.0632,isolated,,,surviving,,surviving,0.0,0
2706157600701063040,340.39872115212876,5.312253155720684,73.98835894932766,-44.8694476009226,halo,-1.0715999603271484,gaia_gspphot,halo,vtan_lower_bound,292.66626550299935,39.40954921023852,dwarf,5.429149899523335,0.93514633,16.77284,15.124,14.85,10.743,7.505,-0.3131740833484459,1.9383424841412407,8.711664915135316,6.159331335355132,1.7351992488108536,3.1857096079563565,0.2740000000000009,-0.0556775271793879,169.2038298949534,160.12697780072622,181.52835109818236,0.3229568156963576,0.26723303534051807,0.3690857189600706,3.706154550116864,3,0.09490762281799923,0.12311804007441966,0.00014096978827993212,0.0817,isolated,,,surviving,,surviving,0.0,0
2557091002527577984,10.527287033517865,7.042201970693909,118.81637845484205,-55.75498476348503,halo,-1.9817999601364136,gaia_gspphot,halo,vtan_lower_bound,210.17482511758158,18.924421994403815,dwarf,8.441431316449709,1.5256042,17.794989,15.176,14.936,10.865,7.922,-0.29540495572077063,1.4647624404766544,10.203668181192583,5.679908387816063,1.3554568805103422,3.8006592881147614,0.2400000000000002,-0.07264288154616949,187.8563422161341,176.23552880766957,204.88511206398897,0.455859664808596,0.38381342240848876,0.5269589359418431,2.0564520072576045,3,0.043034002041321545,0.38868813182270373,0.00016105199151850158,0.0387,isolated,,,surviving,,surviving,0.0,0
2730394204231794432,335.8669001850906,11.476556490941578,75.0949292368113,-37.294154267766,halo,-0.7827000021934509,gaia_gspphot,halo,vtan_lower_bound,239.21225501101748,38.75238891464169,dwarf,7.535491570006492,1.5203285,17.966627,15.376,15.243,11.502,7.919,-0.45816588131666747,0.7790216947543033,6.711549552737165,6.859521689829112,0.8939617540322298,3.0401926633446847,0.13299999999999912,-0.07313170090271104,151.89796230031203,143.51211133006638,160.12697780072622,0.5797010884977835,0.48703861549827226,0.6876495822951588,2.242295644805381e-05,2,0.09936676563893329,0.19508483808833002,0.0003741572262663251,0.0883,isolated,,,surviving,,surviving,0.0,0
2555770321559731328,8.6887205407531,6.903555289832412,115.56507850196803,-55.729383804821985,halo,-1.5145000219345093,gaia_gspphot,unclassified,vtan_lower_bound,270.94627362571237,49.06154281410813,dwarf,7.403391337109486,1.2659607,17.95473,15.615,15.531,11.502,8.608,0.7985432097637035,1.1958684790801901,8.163993279029631,3.8344771832680093,0.6546228913526358,3.0627662135218587,0.08399999999999963,-0.08276726817386226,195.40890733786676,178.6654016999503,245.34563403636335,0.28647471385361056,0.20593888566609458,0.3463399566498636,1.3461942732212577,3,0.25376233998079484,0.3811652939372988,0.000351402856289762,0.0349,isolated,,,surviving,,surviving,0.0,0
2555864256788797440,10.856225307338084,5.1314184605457,119.19795455158285,-57.68222525042118,halo,-0.5695000290870667,gaia_gspphot,halo,vtan_lower_bound,298.05636465028675,20.655990190207408,dwarf,9.510663417383178,1.7057457,17.774647,14.969,14.887,11.047,8.271,-0.8741005380245004,0.11711231771897812,7.573048354233962,3.0998860796403394,0.6050657412967184,3.356536417906842,0.08199999999999896,-0.04986305662011725,207.44176602615752,188.3138979979278,241.476199146034,0.2801864819901207,0.22348041305846209,0.34863357459031874,2.521521693665818e-06,2,0.05789504653242912,0.8581776301358824,0.00021442509223523754,0.031,isolated,,,surviving,,surviving,0.0,0
