source_id,ra,dec,parallax_mas,is_etz,cluster_id,n_in_cluster,n_annulus,annulus_density_per_deg2,bright_source_max_jy,n_trials,best_aperture_arcsec,best_d_au,best_phase,best_dx_arcsec,best_dy_arcsec,best_n_obs,best_lambda,p_raw,p_trials,n_sources_in_reach,annulus_mosaics,n_annulus_mosaics,annulus_maskfract_mean,n_x_30,lambda_30,n_x_60,lambda_60,n_x_120,lambda_120,n_x_204,lambda_204,n_x_300,lambda_300,n_x_600,lambda_600,veto,masked_by_bad_tile,is_candidate,control_+ra_veto,control_+ra_p_trials,control_-ra_veto,control_-ra_p_trials,control_+dec_veto,control_+dec_p_trials,control_-dec_veto,control_-dec_p_trials,n_control_evaluated,n_control_fired,control_min_p_trials,p_empirical_control,best_offset_arcsec,star_inside_best_aperture,n_at_star_best_aperture,void_centre_ra,void_centre_dec,excess_significant
762815470562110464,165.83066112421938,35.94666278736034,392.75294543876464,False,0,1,290,989.0342892139212,1.2449960000000002,123,204.0,2000.0,0.5,-86.9034368645435,8.534673518749301,6,9.977380952380953,0.1315741395407857,1.0,837,P164+37;P166+35,2,0.4133518005540166,0,0.21577380952380956,0,0.8630952380952382,2,3.452380952380953,8,9.977380952380953,27,21.577380952380956,109,86.30952380952382,not_significant,False,False,not_significant,1.0,not_significant,0.6446444521790661,not_significant,0.3505243943506906,not_significant,0.2145755192422174,4,0,0.2145755192422174,1.0,87.32152077776324,True,8,165.80084234383344,35.949033530004435,False
703790044252850688,127.44957264302367,26.77303088546834,279.2496391012477,False,1,1,187,637.7565933896664,1.075352,82,300.0,500.0,0.875,374.09149390120615,-74.32986439684852,11,13.913690476190476,0.2673881138530869,1.0,480,P126+27;P128+27,2,0.4955357142857143,0,0.13913690476190477,0,0.5565476190476191,6,2.2261904761904763,12,6.433690476190476,19,13.913690476190476,57,55.654761904761905,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0,381.4044763115531,False,19,127.56595380172406,26.75238370091366,False
1637645127018395776,264.1036906739332,68.33296851538883,219.78977211974913,False,2,1,93,317.1730651617057,0.649712,41,600.0,500.0,0.25,392.01667348312697,127.35425122778862,8,27.678571428571427,1.1252934885895649e-05,0.0004613703303217216,253,P259+68,1,0.6486486486486487,0,0.06919642857142858,0,0.2767857142857143,1,1.1071428571428572,3,3.199642857142857,7,6.919642857142857,26,27.678571428571427,not_significant,False,False,outside_footprint_or_masked,,not_significant,0.3163134435850756,outside_footprint_or_masked,,not_significant,1.0,2,0,0.3163134435850756,0.005898265998492172,412.1846401730264,True,26,264.39885494288995,68.36834469628543,False
823773494718931968,152.8320551704592,49.451778159450974,205.31478196510724,False,3,1,346,1180.0202209241957,1.769366,123,600.0,500.0,0.25,-256.761962140802,266.8043295079897,87,102.9761904761905,0.0606890049985589,1.0,970,P150+50;P154+50,2,0.39763990267639904,1,0.2574404761904762,1,1.0297619047619049,7,4.1190476190476195,14,11.90404761904762,24,25.744047619047624,102,102.9761904761905,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,mosaic_edge_or_masked,,3,0,1.0,1.0,370.2853702843289,True,102,152.72225963161884,49.52589047320319,False
778947814402602752,166.33952729927302,43.531339613845674,203.8875927696954,False,4,2,228,777.5855791061173,1.074391,82,600.0,500.0,0.0,338.076480791352,-5.895950240245134,62,67.85714285714286,0.26152975229890374,1.0,683,P167+42;P5Hetdex,2,0.30930069930069926,0,0.16964285714285715,1,0.6785714285714286,3,2.7142857142857144,12,7.844285714285714,25,16.964285714285715,81,67.85714285714286,not_significant,False,False,not_significant,0.3409513519987157,mosaic_edge_or_masked,,not_significant,1.0,not_significant,1.0,3,0,0.3409513519987157,1.0,338.12788866566575,True,81,166.46905716185165,43.52970184989005,False
778947608243864320,166.3495957292065,43.526307910415866,203.83234385738783,False,4,2,226,770.7646529736076,1.074391,82,300.0,500.0,0.875,351.2404635155417,-205.86294968550342,13,16.815476190476193,0.21328840778581917,1.0,676,P167+42;P5Hetdex,2,0.3,1,0.16815476190476195,2,0.6726190476190478,5,2.690476190476191,12,7.775476190476191,24,16.815476190476193,78,67.26190476190477,not_significant,False,False,not_significant,0.7201231381156211,mosaic_edge_or_masked,,not_significant,1.0,not_significant,1.0,3,0,0.7201231381156211,1.0,407.1233440418624,False,24,166.4840960760983,43.46912375772545,False
1695191332232990720,226.7011483541773,70.46205338117011,193.9412326077981,False,5,1,0,0.0,,0,,,,,,-1,,,,0,,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,,,False,-1,,,False
939072613334579328,103.69976710598975,33.266242142176026,179.06293491259635,False,6,1,0,0.0,,0,,,,,,-1,,,,0,,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,,,False,-1,,,False
2091177593123254016,278.9074127576433,32.99447251469019,175.79296679952537,False,7,1,85,289.88936063166653,,0,,,,,,-1,,,,207,P277+33,1,0.7864077669902912,0,0.06324404761904763,0,0.2529761904761905,1,1.011904761904762,5,2.924404761904762,6,6.324404761904762,28,25.297619047619047,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,not_significant,1.0,outside_footprint_or_masked,,outside_footprint_or_masked,,1,0,1.0,,,False,-1,,,False
946632924007399936,107.50490937150218,38.52487575569186,165.2146994337292,False,8,1,0,0.0,,0,,,,,,-1,,,,0,,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,,,False,-1,,,False
